engine_version,dataset,source_path,source_format,source_rows,source_columns,source_sha256,operational_path,operational_rows
2.0.2,customers,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\core\customers.parquet,parquet,20000,23,5e064d6205e47f27560945e6f65ea359bee62bc0f8fb1c3cc13adbcf408b4db6,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\customers.csv,20000
2.0.2,accounts,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\core\accounts.parquet,parquet,42594,8,a612b80cdcffeb756df9ef1c4f518e2e5466ffb63a72fca81a2e7c4c1a9b5fd4,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\accounts.csv,42594
2.0.2,transactions,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\transactions\transactions.parquet,parquet,354119,14,19623043c5bc0ce8d6240292271979415b1b6d038895ad918beba343aa069be8,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\transactions.csv,354119
2.0.2,cards,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\core\cards.parquet,parquet,55639,8,aba42c8f7b05ac8de9c83edd0837a86ee2628ab9391a1e71e88c8ae4d16c048f,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\cards.csv,55639
2.0.2,loans,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\core\loans.parquet,parquet,42852,12,3eccc857f78b068707f3a4b1298bbfdc3484f8e4acf526eb3f3b5561f29ed171,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\loans.csv,42852
2.0.2,branches,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\core\branches.csv,csv,37,15,4931bd1b35508bde9cb06465e49ca620cbb27862eabedbd74d77a314a7a53620,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\branches.csv,37
2.0.2,campaign_customers,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\campaigns\campaign_customers.parquet,parquet,21187,7,055ed54a4f20abc4a17ee996e4b1e1b289f23f4bbe8628e505ef33cff80d04d9,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\campaign_customers.csv,21187
2.0.2,campaign_exposures,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\generated\campaigns\campaign_exposures.parquet,parquet,30892,5,68b1031dd1de9c52c879be2235c066f209c17d8d8a6e197cdf1dbdf469e69401,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\data\operational\campaign_exposures.csv,30925
