engine_version,dataset,source_path,source_format,source_rows,source_columns,source_sha256,operational_path,operational_rows
2.1.0,customers,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\core\customers.parquet,parquet,50,23,5cbb0ba1450439660c38bb6b826112c2e140fe6f8eb5d54f87f31f6e05835489,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\customers.csv,50
2.1.0,accounts,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\core\accounts.parquet,parquet,94,8,0561ee5e38c2f6f235aecdd2fae83789ed6107d1957458f92ea247e0d29ed8a9,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\accounts.csv,94
2.1.0,transactions,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\transactions\transactions.parquet,parquet,27522,14,cdc5a96c00095e965ce70f7c325c0aadc5db73f8910c2e4051e0b36a3128b1c6,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\transactions.csv,27522
2.1.0,cards,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\core\cards.parquet,parquet,136,8,177ffe9870eb506040d73fead20d5185722930a858a20de3fda469533c0e2ebd,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\cards.csv,136
2.1.0,loans,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\core\loans.parquet,parquet,86,12,28269517d72d3a5184a3a1a15156a83028edd9e9025dcd251365623616a0311e,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\loans.csv,86
2.1.0,branches,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\core\branches.csv,csv,37,15,e946dce57dd5fdc5ebd2f47928a253c063cd77a2d89ad97494e7c0a5ae37ed90,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\branches.csv,37
2.1.0,campaign_customers,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\campaigns\campaign_customers.parquet,parquet,81,7,b9d7c7e59c965bb8b6a3d7e476749a089ceec058e4b09d0b27815b5a9b72de1c,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\campaign_customers.csv,81
2.1.0,campaign_exposures,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\generated\campaigns\campaign_exposures.parquet,parquet,130,5,53c2d85905e4f23587aaa3fefcb607af999a3bf1d0e31fdebb5c80760e793edf,C:\Users\santi\Proyectos\BTYT\Part I — Business Intelligence & Performance Management\btyt-banking-analytics\worlds\SMOKE\33\data\operational\campaign_exposures.csv,130
